problemId,titleKo,titleEn,acceptedUserCount,level,sprout,averageTries,tags
1000,A+B,A+B,300941,1,True,2.5654,"[{'tagBOJ': 102, 'tagSA': 'implementation'}, {'tagBOJ': 121, 'tagSA': 'arithmetic'}, {'tagBOJ': 124, 'tagSA': 'math'}]"
1001,A-B,,257848,1,True,1.44,"[{'tagBOJ': 102, 'tagSA': 'implementation'}, {'tagBOJ': 121, 'tagSA': 'arithmetic'}, {'tagBOJ': 124, 'tagSA': 'math'}]"
1002,터렛,,37824,8,False,4.4311,"[{'tagBOJ': 137, 'tagSA': 'case_work'}, {'tagBOJ': 100, 'tagSA': 'geometry'}, {'tagBOJ': 124, 'tagSA': 'math'}]"
1003,피보나치 함수,,54986,8,False,2.9949,"[{'tagBOJ': 25, 'tagSA': 'dp'}]"
1004,어린 왕자,,15991,8,False,2.1617,"[{'tagBOJ': 100, 'tagSA': 'geometry'}, {'tagBOJ': 124, 'tagSA': 'math'}]"
1005,ACM Craft,,14826,13,False,3.4545,"[{'tagBOJ': 213, 'tagSA': 'dag'}, {'tagBOJ': 25, 'tagSA': 'dp'}, {'tagBOJ': 7, 'tagSA': 'graphs'}, {'tagBOJ': 78, 'tagSA': 'topological_sorting'}]"
1006,습격자 초라기,,2332,18,False,4.9104,"[{'tagBOJ': 25, 'tagSA': 'dp'}]"
1007,벡터 매칭,,3484,14,False,2.6349,"[{'tagBOJ': 125, 'tagSA': 'bruteforcing'}, {'tagBOJ': 124, 'tagSA': 'math'}]"
1008,A/B,,211377,1,True,2.8993,"[{'tagBOJ': 102, 'tagSA': 'implementation'}, {'tagBOJ': 121, 'tagSA': 'arithmetic'}, {'tagBOJ': 124, 'tagSA': 'math'}]"
1009,분산처리,,21948,4,False,4.1108,"[{'tagBOJ': 102, 'tagSA': 'implementation'}, {'tagBOJ': 124, 'tagSA': 'math'}]"
1010,다리 놓기,,39578,6,False,2.0862,"[{'tagBOJ': 6, 'tagSA': 'combinatorics'}, {'tagBOJ': 25, 'tagSA': 'dp'}, {'tagBOJ': 124, 'tagSA': 'math'}]"
1011,Fly me to the Alpha Centauri,,23602,11,False,3.151,"[{'tagBOJ': 124, 'tagSA': 'math'}]"
1012,유기농 배추,,52283,9,False,2.6026,"[{'tagBOJ': 7, 'tagSA': 'graphs'}, {'tagBOJ': 11, 'tagSA': 'graph_traversal'}, {'tagBOJ': 126, 'tagSA': 'bfs'}, {'tagBOJ': 127, 'tagSA': 'dfs'}]"
1013,Contact,,5046,11,False,2.7077,"[{'tagBOJ': 63, 'tagSA': 'regex'}, {'tagBOJ': 158, 'tagSA': 'string'}]"
1014,컨닝,No Cheating (Small),2269,17,False,2.1133,"[{'tagBOJ': 14, 'tagSA': 'bitmask'}, {'tagBOJ': 25, 'tagSA': 'dp'}, {'tagBOJ': 45, 'tagSA': 'flow'}, {'tagBOJ': 87, 'tagSA': 'dp_bitfield'}]"
1015,수열 정렬,,7154,7,False,1.7873,"[{'tagBOJ': 97, 'tagSA': 'sorting'}]"
