tagBOJ,tagSA,nameKo,nameEn,aliases
1,2_sat,2-sat,2-sat,"['투셋', 'twosat', '2sat']"
2,aho_corasick,아호-코라식,aho-corasick,"['아호코라식', 'ahocorasick']"
3,polygon_area,다각형의 넓이,area of a polygon,['넓이']
4,articulation,단절점과 단절선,articulation points and bridges,"['단절점', '단절선', '브리지', '브릿지', 'bridge']"
5,backtracking,백트래킹,backtracking,"['백트래킹', '퇴각검색', '퇴각 검색']"
6,combinatorics,조합론,combinatorics,"['combination', 'permutation', 'probability', '확률', '순열']"
7,graphs,그래프 이론,graph theory,"['그래프이론', '그래프']"
8,hashing,해싱,hashing,[]
9,primality_test,소수 판정,primality test,"['소수', '소수판별', '소수판정', 'prime']"
10,bellman_ford,벨만–포드,bellman–ford,"['bellmanford', '벨만포드', 'spfa']"
11,graph_traversal,그래프 탐색,graph traversal,"['bfs', 'dfs']"
12,binary_search,이분 탐색,binary search,"['이분탐색', '이진탐색']"
13,bipartite_matching,이분 매칭,bipartite matching,[]
14,bitmask,비트마스킹,bitmask,"['비트필드', '비트마스크']"
15,general_matching,일반적인 매칭,general matching,"['블라썸', '블러썸', '블라섬', '블러섬', 'blossom', '부합']"
16,burnside,번사이드 보조정리,burnside's lemma,[]
18,centroid_decomposition,센트로이드 분할,centroid decomposition,['센트로이드']
19,crt,중국인의 나머지 정리,chinese remainder theorem,[]
20,convex_hull,볼록 껍질,convex hull,['컨벡스헐']
21,delaunay,델로네 삼각분할,delaunay triangulation,[]
22,dijkstra,데이크스트라,dijkstra's,"['다익', '다익스트라', '데이크스트라']"
23,directed_mst,유향 최소 신장 트리,directed minimum spanning tree,['유향mst']
24,divide_and_conquer,분할 정복,divide and conquer,['dnc']
25,dp,다이나믹 프로그래밍,dynamic programming,"['동적계획법', '동적 계획법', '다이나믹프로그래밍']"
26,euclidean,유클리드 호제법,euclidean algorithm,['유클리드알고리즘']
27,extended_euclidean,확장 유클리드 호제법,extended euclidean algorithm,"['확장유클리드알고리즘', 'egcd']"
28,fft,고속 푸리에 변환,fast fourier transform,"['푸리에변환', '컨볼루션', 'convolution']"
29,flt,페르마의 소정리,fermat's little theorem,[]
31,floyd_warshall,플로이드–워셜,floyd–warshall,"['플로이드', '플로이드와셜', '플로이드와샬']"
32,gaussian_elimination,가우스 소거법,gaussian elimination,[]
33,greedy,그리디 알고리즘,greedy,['탐욕법']
34,hall,홀의 결혼 정리,hall's theorem,[]
35,hld,Heavy-light 분할,heavy-light decomposition,[]
36,hungarian,헝가리안,hungarian,"['헝가리안', 'assignment problem', 'weighted bipartite matching']"
38,inclusion_and_exclusion,포함 배제의 원리,inclusion and exclusion,[]
39,exponentiation_by_squaring,분할 정복을 이용한 거듭제곱,exponentiation by squaring,"['거듭제곱', '제곱', 'power', 'square']"
40,kmp,KMP,knuth–morris–pratt,[]
41,lca,최소 공통 조상,lowest common ancestor,[]
42,line_intersection,선분 교차 판정,line segment intersection check,[]
43,lis,가장 긴 증가하는 부분 수열: O(n log n),longest increasing sequence in o(n log n),[]
44,manacher,매내처,manacher's,[]
45,flow,최대 유량,maximum flow,"['dinic', 'dinitz', 'ford', 'fulkerson', 'fordfulkerson', '디닉', '디니츠', '포드풀커슨', '플로우']"
46,mitm,중간에서 만나기,meet in the middle,[]
47,miller_rabin,밀러–라빈 소수 판별법,miller–rabin,[]
48,mcmf,최소 비용 최대 유량,minimum cost maximum flow,"['dinic', 'dinitz', 'ford', 'fulkerson', 'fordfulkerson', '디닉', '디니츠', '포드풀커슨']"
49,mst,최소 스패닝 트리,minimum spanning tree,[]
50,mo,mo's,mo's,"['squarerootdecomposition', 'sqrtdecomposition', '평방분할법']"
51,mobius_inversion,뫼비우스 반전 공식,möbius inversion,['mobius']
52,offline_dynamic_connectivity,오프라인 동적 연결성 판정,offline dynamic connectivity,[]
53,palindrome_tree,회문 트리,palindrome tree,['팰린드롬트리']
54,pbs,병렬 이분 탐색,parallel binary search,[]
55,pst,퍼시스턴트 세그먼트 트리,persistent segment tree,"['퍼시스턴트구간트리', '구간트리', '퍼시스턴트세그트리']"
56,point_in_convex_polygon,볼록 다각형 내부의 점 판정,point in convex polygon check,[]
57,point_in_non_convex_polygon,오목 다각형 내부의 점 판정,point in non-convex polygon check,[]
58,pollard_rho,폴라드 로,pollard rho,[]
59,priority_queue,우선순위 큐,priority queue,"['heap', '힙']"
60,pythagoras,피타고라스 정리,pythagoras theorem,[]
61,rabin_karp,라빈–카프,rabin–karp,['라빈카프']
62,recursion,재귀,recursion,[]
63,regex,정규 표현식,regular expression,['정규식']
64,rotating_calipers,회전하는 캘리퍼스,rotating calipers,[]
65,segtree,세그먼트 트리,segment tree,"['구간트리', '세그트리', 'fenwick', '펜윅']"
66,lazyprop,느리게 갱신되는 세그먼트 트리,segment tree with lazy propagation,"['레이지', '레이지프로퍼게이션', '레이지프로파게이션', '구간트리', 'fenwick', '펜윅']"
67,sieve,에라토스테네스의 체,sieve of eratosthenes,"['sieve', '에라체', '소수', 'prime']"
68,sliding_window,슬라이딩 윈도우,sliding window,['슬라이딩윈도']
69,splay_tree,스플레이 트리,splay tree,[]
70,sprague_grundy,스프라그–그런디 정리,sprague–grundy theorem,"['님버', 'nimber']"
71,stack,스택,stack,[]
72,queue,큐,queue,[]
73,deque,덱,deque,[]
74,tree_set,트리를 사용한 집합과 맵,set / map by trees,"['집합', '맵', '셋', '딕셔너리', 'dictionary', 'map', 'set', 'bbst', '트리', 'tree']"
75,stoer_wagner,스토어–바그너,stoer–wagner,"['stoer-wagner', 'stoer-karger', 'stoer', 'wagner', 'karger', 'global min cut', '전역 최소 컷']"
76,scc,강한 연결 요소,strongly connected component,[]
77,suffix_array,접미사 배열과 LCP 배열,suffix array and lcp array,[]
78,topological_sorting,위상 정렬,topological sorting,[]
79,trie,트라이,trie,[]
80,two_pointer,두 포인터,two-pointer,"['투포인터', '인치웜', 'inchworm', 'twopointer']"
81,disjoint_set,분리 집합,disjoint set,"['union', 'find', '유니온', '파인드', 'dsu']"
82,voronoi,보로노이 다이어그램,voronoi diagram,[]
